HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Argentina,Paraguay,1989,0,0,0
Brazil,Uruguay,1989,1,0,1
Uruguay,Chile,1989,3,0,3
Brazil,Argentina,1989,2,0,2
Ecuador,Bolivia,1989,0,0,0
Colombia,Venezuela,1989,4,2,6
Uruguay,Bolivia,1989,3,0,3
Paraguay,Peru,1989,5,2,7
Brazil,Venezuela,1989,3,1,4
Argentina,Ecuador,1989,0,0,0
Peru,Venezuela,1989,1,1,2
Paraguay,Colombia,1989,1,0,1
Brazil,Peru,1989,0,0,0
Colombia,Peru,1989,1,1,2
Brazil,Paraguay,1989,2,0,2
Ecuador,Uruguay,1989,1,0,1
Argentina,Chile,1989,1,0,1
Brazil,Colombia,1989,0,0,0
Uruguay,Colombia,1991,1,0,1
Brazil,Uruguay,1991,1,1,2
Ecuador,Bolivia,1991,4,0,4
Colombia,Brazil,1991,2,0,2
Brazil,Ecuador,1991,3,1,4
Colombia,Bolivia,1991,0,0,0
Chile,Colombia,1991,1,1,2
Argentina,Chile,1991,0,0,0
Brazil,Colombia,1991,2,0,2
Brazil,Chile,1991,2,0,2
Argentina,Colombia,1991,2,1,3
Argentina,Brazil,1991,3,2,5
Brazil,Bolivia,1991,2,1,3
Paraguay,Peru,1991,1,0,1
Uruguay,Bolivia,1991,1,1,2
Chile,Venezuela,1991,2,0,2
Chile,Peru,1991,4,2,6
Argentina,Venezuela,1991,3,0,3
Paraguay,Venezuela,1991,5,0,5
Argentina,Chile,1991,1,0,1
Uruguay,Ecuador,1991,1,1,2
Argentina,Paraguay,1991,4,1,5
Argentina,Peru,1991,3,2,5
Chile,Paraguay,1991,4,0,4
Colombia,Ecuador,1991,1,0,1
Peru,Venezuela,1991,5,1,6
Colombia,Bolivia,1993,1,1,2
Argentina,Colombia,1993,1,1,2
Ecuador,Paraguay,1993,3,0,3
Colombia,Uruguay,1993,1,1,2
Mexico,Peru,1993,4,2,6
Argentina,Mexico,1993,1,1,2
Mexico,Ecuador,1993,2,0,2
Argentina,Colombia,1993,0,0,0
Ecuador,Colombia,1993,0,1,1
Argentina,Mexico,1993,2,1,3
Argentina,Brazil,1993,1,1,2
Argentina,Bolivia,1993,1,0,1
Mexico,Bolivia,1993,0,0,0
Brazil,Paraguay,1993,3,0,3
Ecuador,Venezuela,1993,6,1,7
Uruguay,United States,1993,1,0,1
Uruguay,Venezuela,1993,2,2,4
Ecuador,United States,1993,2,0,2
Venezuela,United States,1993,3,3,6
Colombia,Mexico,1993,2,1,3
Paraguay,Chile,1993,1,0,1
Brazil,Peru,1993,0,0,0
Paraguay,Peru,1993,1,1,2
Chile,Brazil,1993,3,2,5
Peru,Chile,1993,1,0,1
Ecuador,Uruguay,1993,2,1,3
Argentina,Chile,1995,4,0,4
Bolivia,Chile,1995,2,2,4
United States,Argentina,1995,3,0,3
Colombia,Paraguay,1995,1,1,2
Uruguay,Bolivia,1995,2,1,3
Uruguay,Colombia,1995,2,0,2
Brazil,Argentina,1995,2,2,4
Brazil,United States,1995,1,0,1
Colombia,United States,1995,4,1,5
Bolivia,United States,1995,1,0,1
United States,Mexico,1995,0,0,0
Uruguay,Brazil,1995,1,1,2
Argentina,Bolivia,1995,2,1,3
Brazil,Colombia,1995,3,0,3
Uruguay,Venezuela,1995,4,1,5
Paraguay,Mexico,1995,2,1,3
Uruguay,Paraguay,1995,1,0,1
Mexico,Venezuela,1995,3,1,4
Paraguay,Venezuela,1995,3,2,5
United States,Chile,1995,2,1,3
Colombia,Peru,1995,1,1,2
Brazil,Ecuador,1995,1,0,1
Colombia,Ecuador,1995,1,0,1
Brazil,Peru,1995,2,0,2
Ecuador,Peru,1995,2,1,3
Uruguay,Mexico,1995,1,1,2
Colombia,Costa Rica,1997,4,1,5
Brazil,Mexico,1997,3,2,5
Mexico,Costa Rica,1997,1,1,2
Brazil,Colombia,1997,2,0,2
Peru,Argentina,1997,2,1,3
Brazil,Paraguay,1997,2,0,2
Mexico,Ecuador,1997,1,1,2
Bolivia,Mexico,1997,3,1,4
Brazil,Peru,1997,7,0,7
Mexico,Peru,1997,1,0,1
Brazil,Costa Rica,1997,5,0,5
Bolivia,Colombia,1997,2,1,3
Brazil,Bolivia,1997,3,1,4
Mexico,Colombia,1997,2,1,3
Peru,Venezuela,1997,2,0,2
Bolivia,Uruguay,1997,1,0,1
Paraguay,Chile,1997,1,0,1
Ecuador,Argentina,1997,0,0,0
Argentina,Chile,1997,2,0,2
Chile,Ecuador,1997,1,2,3
Paraguay,Ecuador,1997,0,2,2
Peru,Uruguay,1997,1,0,1
Bolivia,Venezuela,1997,1,0,1
Uruguay,Venezuela,1997,2,0,2
Bolivia,Peru,1997,2,0,2
Paraguay,Argentina,1997,1,1,2
Peru,Mexico,1999,3,3,6
Argentina,Colombia,1999,0,3,3
Colombia,Ecuador,1999,2,1,3
Argentina,Uruguay,1999,2,0,2
Paraguay,Uruguay,1999,1,1,2
Uruguay,Brazil,1999,0,3,3
Brazil,Argentina,1999,2,1,3
Uruguay,Chile,1999,1,1,2
Mexico,Brazil,1999,0,2,2
Chile,Mexico,1999,1,2,3
Uruguay,Ecuador,1999,2,1,3
Colombia,Chile,1999,2,3,5
Argentina,Ecuador,1999,3,1,4
Uruguay,Colombia,1999,0,1,1
Brazil,Chile,1999,1,1,2
Paraguay,Bolivia,1999,0,0,0
Peru,Bolivia,1999,1,0,1
Paraguay,Japan,1999,4,0,4
Japan,Bolivia,1999,1,1,2
Paraguay,Peru,1999,1,0,1
Peru,Japan,1999,3,2,5
Brazil,Venezuela,1999,7,0,7
Brazil,Mexico,1999,2,1,3
Chile,Venezuela,1999,3,0,3
Mexico,Venezuela,1999,3,1,4
Chile,Mexico,1999,0,1,1
Bolivia,Costa Rica,2001,0,4,4
Honduras,Uruguay,2001,1,0,1
Chile,Mexico,2001,0,2,2
Costa Rica,Uruguay,2001,1,2,3
Colombia,Peru,2001,3,0,3
Mexico,Uruguay,2001,2,1,3
Colombia,Honduras,2001,2,0,2
Uruguay,Honduras,2001,2,2,4
Mexico,Colombia,2001,0,1,1
Honduras,Bolivia,2001,2,0,2
Brazil,Honduras,2001,0,2,2
Uruguay,Costa Rica,2001,1,1,2
Honduras,Costa Rica,2001,0,1,1
Ecuador,Chile,2001,1,4,5
Bolivia,Uruguay,2001,0,1,1
Colombia,Venezuela,2001,2,0,2
Chile,Venezuela,2001,1,0,1
Colombia,Ecuador,2001,1,0,1
Colombia,Chile,2001,2,0,2
Ecuador,Venezuela,2001,4,0,4
Brazil,Mexico,2001,0,1,1
Brazil,Peru,2001,2,0,2
Paraguay,Mexico,2001,0,0,0
Peru,Mexico,2001,1,0,1
Brazil,Paraguay,2001,3,1,4
Peru,Paraguay,2001,3,3,6
Peru,Argentina,2004,0,1,1
Paraguay,Chile,2004,1,1,2
Costa Rica,Chile,2004,2,1,3
Brazil,Paraguay,2004,1,2,3
Colombia,Costa Rica,2004,2,0,2
Brazil,Costa Rica,2004,4,1,5
Mexico,Brazil,2004,0,4,4
Argentina,Colombia,2004,3,0,3
Brazil,Uruguay,2004,1,1,2
Colombia,Uruguay,2004,1,2,3
Argentina,Brazil,2004,2,2,4
Paraguay,Uruguay,2004,1,3,4
Brazil,Chile,2004,1,0,1
Venezuela,Colombia,2004,0,1,1
Argentina,Uruguay,2004,4,2,6
Costa Rica,Paraguay,2004,0,1,1
Peru,Bolivia,2004,2,2,4
Colombia,Bolivia,2004,1,0,1
Venezuela,Bolivia,2004,1,1,2
Peru,Colombia,2004,2,2,4
Peru,Venezuela,2004,3,1,4
Argentina,Ecuador,2004,6,1,7
Uruguay,Ecuador,2004,2,1,3
Argentina,Mexico,2004,0,1,1
Mexico,Ecuador,2004,2,1,3
Mexico,Uruguay,2004,2,2,4
Venezuela,Uruguay,2007,1,4,5
Argentina,Colombia,2007,4,2,6
Colombia,United States,2007,1,0,1
Argentina,Paraguay,2007,1,0,1
Chile,Brazil,2007,1,6,7
Brazil,Argentina,2007,3,0,3
Argentina,Peru,2007,4,0,4
Uruguay,Brazil,2007,2,2,4
Mexico,Argentina,2007,0,3,3
Uruguay,Mexico,2007,1,3,4
United States,Paraguay,2007,1,3,4
Mexico,Paraguay,2007,6,0,6
Argentina,United States,2007,4,1,5
Venezuela,Bolivia,2007,2,2,4
Brazil,Ecuador,2007,1,0,1
Paraguay,Colombia,2007,5,0,5
Uruguay,Peru,2007,0,3,3
Venezuela,Peru,2007,2,0,2
Peru,Bolivia,2007,2,2,4
Venezuela,Uruguay,2007,0,0,0
Bolivia,Uruguay,2007,0,1,1
Brazil,Mexico,2007,0,2,2
Brazil,Chile,2007,3,0,3
Mexico,Ecuador,2007,2,1,3
Mexico,Chile,2007,0,0,0
Ecuador,Chile,2007,2,3,5
Brazil,Ecuador,2011,4,2,6
Chile,Peru,2011,1,0,1
Peru,Mexico,2011,1,0,1
Uruguay,Chile,2011,1,1,2
Chile,Mexico,2011,2,1,3
Uruguay,Peru,2011,1,1,2
Paraguay,Venezuela,2011,3,3,6
Colombia,Bolivia,2011,2,0,2
Brazil,Paraguay,2011,2,2,4
Paraguay,Ecuador,2011,0,0,0
Brazil,Venezuela,2011,0,0,0
Argentina,Costa Rica,2011,3,0,3
Bolivia,Costa Rica,2011,0,2,2
Argentina,Colombia,2011,0,0,0
Venezuela,Ecuador,2011,1,0,1
Uruguay,Mexico,2011,1,0,1
Argentina,Bolivia,2011,1,1,2
Colombia,Costa Rica,2011,1,0,1
Colombia,Peru,2011,0,2,2
Argentina,Uruguay,2011,1,1,2
Brazil,Paraguay,2011,0,0,0
Chile,Venezuela,2011,1,2,3
Peru,Uruguay,2011,0,2,2
Paraguay,Venezuela,2011,0,0,0
Peru,Venezuela,2011,4,1,5
Uruguay,Paraguay,2011,3,0,3
Uruguay,Jamaica,2015,1,0,1
Peru,Venezuela,2015,1,0,1
Argentina,Paraguay,2015,2,2,4
Brazil,Colombia,2015,0,1,1
Colombia,Venezuela,2015,0,1,1
Argentina,Jamaica,2015,1,0,1
Uruguay,Paraguay,2015,1,1,2
Paraguay,Jamaica,2015,1,0,1
Chile,Ecuador,2015,2,0,2
Mexico,Bolivia,2015,0,0,0
Ecuador,Bolivia,2015,2,3,5
Chile,Mexico,2015,3,3,6
Mexico,Ecuador,2015,1,2,3
Chile,Bolivia,2015,5,0,5
Brazil,Peru,2015,2,1,3
Argentina,Uruguay,2015,1,0,1
Brazil,Venezuela,2015,2,1,3
Chile,Uruguay,2015,1,0,1
Bolivia,Peru,2015,1,3,4
Argentina,Colombia,2015,0,0,0
Brazil,Paraguay,2015,1,1,2
Chile,Peru,2015,2,1,3
Argentina,Paraguay,2015,6,1,7
Peru,Paraguay,2015,2,0,2
Chile,Argentina,2015,0,0,0
Colombia,Peru,2015,0,0,0
Mexico,Chile,2016,0,7,7
Mexico,Jamaica,2016,2,0,2
Mexico,Venezuela,2016,1,1,2
Uruguay,Jamaica,2016,3,0,3
Panama,Bolivia,2016,2,1,3
Argentina,Bolivia,2016,3,0,3
Chile,Bolivia,2016,2,1,3
Argentina,Panama,2016,5,0,5
Chile,Panama,2016,4,2,6
Uruguay,Venezuela,2016,0,1,1
United States,Ecuador,2016,2,1,3
Argentina,Chile,2016,2,1,3
Mexico,Uruguay,2016,3,1,4
Brazil,Haiti,2016,7,1,8
Brazil,Peru,2016,0,1,1
Ecuador,Haiti,2016,4,0,4
Ecuador,Peru,2016,2,2,4
Peru,Colombia,2016,0,0,0
Haiti,Peru,2016,0,1,1
Colombia,Costa Rica,2016,2,3,5
United States,Paraguay,2016,1,0,1
Colombia,Paraguay,2016,2,1,3
United States,Costa Rica,2016,4,0,4
Costa Rica,Paraguay,2016,0,0,0
United States,Colombia,2016,0,2,2
Jamaica,Venezuela,2016,0,1,1
Argentina,Venezuela,2016,4,1,5
Brazil,Ecuador,2016,0,0,0
United States,Argentina,2016,0,4,4
Colombia,Chile,2016,0,2,2
United States,Colombia,2016,0,1,1
Argentina,Chile,2016,0,0,0
Chile,Peru,2019,0,3,3
Argentina,Chile,2019,2,1,3
Brazil,Peru,2019,3,1,4
Colombia,Chile,2019,0,0,0
Venezuela,Argentina,2019,0,2,2
Brazil,Paraguay,2019,0,0,0
Ecuador,Japan,2019,1,1,2
Chile,Uruguay,2019,0,1,1
Ecuador,Chile,2019,1,2,3
Uruguay,Japan,2019,2,2,4
Japan,Chile,2019,0,4,4
Uruguay,Ecuador,2019,4,0,4
Argentina,Paraguay,2019,1,1,2
Qatar,Argentina,2019,0,2,2
Uruguay,Peru,2019,0,0,0
Colombia,Qatar,2019,1,0,1
Paraguay,Qatar,2019,2,2,4
Argentina,Colombia,2019,0,2,2
Bolivia,Venezuela,2019,1,3,4
Peru,Brazil,2019,0,5,5
Brazil,Venezuela,2019,0,0,0
Bolivia,Peru,2019,1,3,4
Venezuela,Peru,2019,0,0,0
Brazil,Bolivia,2019,3,0,3
Colombia,Paraguay,2019,1,0,1
Brazil,Argentina,2019,2,0,2
Bolivia,Uruguay,2021,0,2,2
Argentina,Chile,2021,1,1,2
Chile,Paraguay,2021,0,2,2
Uruguay,Paraguay,2021,1,0,1
Bolivia,Argentina,2021,1,4,5
Brazil,Venezuela,2021,3,0,3
Colombia,Ecuador,2021,1,0,1
Colombia,Venezuela,2021,0,0,0
Brazil,Peru,2021,4,0,4
Venezuela,Ecuador,2021,2,2,4
Colombia,Peru,2021,1,2,3
Uruguay,Chile,2021,1,1,2
Brazil,Colombia,2021,2,1,3
Argentina,Paraguay,2021,1,0,1
Brazil,Ecuador,2021,1,1,2
Peru,Paraguay,2021,3,3,6
Brazil,Chile,2021,1,0,1
Uruguay,Colombia,2021,0,0,0
Argentina,Ecuador,2021,3,0,3
Brazil,Peru,2021,1,0,1
Argentina,Colombia,2021,1,1,2
Colombia,Peru,2021,3,2,5
Argentina,Brazil,2021,1,0,1
Argentina,Uruguay,2021,1,0,1
Chile,Bolivia,2021,1,0,1
Paraguay,Bolivia,2021,3,1,4
Venezuela,Peru,2021,0,1,1
Ecuador,Peru,2021,2,2,4
